equipment_id,equipment_type,component,log_date,visit_sequence,total_visits,narrative,vibration_mms,temperature_c,pressure_psi,rpm,telemetry_summary,failure_mode,risk_level,early_warning_flag,time_to_failure_days,recommendation
TURB-101,Gas Turbine,Burner Nozzle,2025-04-09,1,6,"Semi-annual overhaul inspection. Inspected Burner Nozzle, clearances verified against OEM specs. Operating pressure 142 PSI. Dynamic balancing intact, zero cavitation or abnormal resonance.",2.22,88.4,142,3571,VIB: 2.22 mm/s | TEMP: 88.4 C | RPM: 3571 | PRESS: 142 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
TURB-101,Gas Turbine,Burner Nozzle,2025-04-22,2,6,"Monthly condition monitoring inspection on Burner Nozzle. Acoustic levels normal, vibration spectra show clean baseline at 1.42 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.42,72.3,126,3122,VIB: 1.42 mm/s | TEMP: 72.3 C | RPM: 3122 | PRESS: 126 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
TURB-101,Gas Turbine,Burner Nozzle,2025-05-17,3,6,"Stator RTD sensors indicate slight thermal drift up to 101.5C on Burner Nozzle. Cooling airflow partially restricted by dust accumulation on fan cowl. Cleaned cowl, monitoring winding temp.",3.63,101.5,102,3902,VIB: 3.63 mm/s | TEMP: 101.5 C | RPM: 3902 | PRESS: 102 PSI,Motor_Overheating,Low_Risk,1,40,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
TURB-101,Gas Turbine,Burner Nozzle,2025-06-03,4,6,"[Follow-up Alert] Previous inspection flagged anomaly. Thermal camera inspection identified warm hotspot on motor frame near Burner Nozzle. Temp recorded at 112.5C, approx 12C above ambient. Current draw slightly asymmetrical. Scheduled for thermal re-check.",5.82,112.5,78,5859,VIB: 5.82 mm/s | TEMP: 112.5 C | RPM: 5859 | PRESS: 78 PSI,Motor_Overheating,Medium_Risk,1,15,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
TURB-101,Gas Turbine,Burner Nozzle,2025-06-25,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Motor casing thermal runaway observed: surface temp 122.3C. Stator windings severely discolored and brittle from excessive thermal cycling. Rotor bar overheating confirmed with dynamic torque ripple.,8.3,122.3,36,3418,VIB: 8.30 mm/s | TEMP: 122.3 C | RPM: 3418 | PRESS: 36 PSI,Motor_Overheating,Critical,1,0,"Inspect cooling fan and air ducts, verify load balance, check winding RTD sensors, and test insulation resistance."
COMP-102,Air Compressor,Main Journal Bearing,2025-05-22,1,6,"Monthly condition monitoring inspection on Main Journal Bearing. Acoustic levels normal, vibration spectra show clean baseline at 1.73 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",1.73,47.4,136,1587,VIB: 1.73 mm/s | TEMP: 47.4 C | RPM: 1587 | PRESS: 136 PSI,Normal_Operation,Normal,0,120,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
COMP-102,Air Compressor,Main Journal Bearing,2025-06-05,2,6,"Monthly condition monitoring inspection on Main Journal Bearing. Acoustic levels normal, vibration spectra show clean baseline at 2.59 mm/s. Fasteners torqued, zero leakage detected. Unit signed off for full production duty.",2.59,64.8,100,1246,VIB: 2.59 mm/s | TEMP: 64.8 C | RPM: 1246 | PRESS: 100 PSI,Normal_Operation,Normal,0,100,Continue standard routine PM schedule; record baseline vibration and temperature at next shift.
COMP-102,Air Compressor,Main Journal Bearing,2025-06-20,3,6,Visual inspection noted oil weeping and wet residue near Main Journal Bearing fitting. Pressure drop of 4 PSI noted across the manifold. Tightened hose crimp fitting and cleaned surrounding pan.,4.63,79.8,76,1589,VIB: 4.63 mm/s | TEMP: 79.8 C | RPM: 1589 | PRESS: 76 PSI,Hydraulic_Leak,Low_Risk,1,40,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
COMP-102,Air Compressor,Main Journal Bearing,2025-07-07,4,6,[Follow-up Alert] Previous inspection flagged anomaly. Severe fluid loss and cavitation noise in hydraulic pump due to dry suction line from leaking Main Journal Bearing. Pressure dropped drastically to 58 PSI. Immediate seal kit overhaul initiated.,7.41,91.6,58,1579,VIB: 7.41 mm/s | TEMP: 91.6 C | RPM: 1579 | PRESS: 58 PSI,Hydraulic_Leak,Medium_Risk,1,15,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
COMP-102,Air Compressor,Main Journal Bearing,2025-07-21,5,6,[CRITICAL WORK ORDER] Equipment tripped during operation. Critical pressure failure: Main Journal Bearing seal blown out completely under load. High-pressure hydraulic jetting caused sudden system depressurization and safety trip. Overhaul of hydraulic manifold mandatory.,9.65,113.4,27,1375,VIB: 9.65 mm/s | TEMP: 113.4 C | RPM: 1375 | PRESS: 27 PSI,Hydraulic_Leak,Critical,1,0,"Depressurize hydraulic circuit, replace damaged seals/O-rings, tighten fittings, and replenish hydraulic oil."
